#End Bounds: 10.5,11.5,11.5,12.5
#North-facing Walls (Color: Red/Pink)
C255,50,50
#Layer: y = -.5
.5,-.5,-.5,-.5
3.5,-.5,2.5,-.5
5.5,-.5,3.5,-.5
6.5,-.5,5.5,-.5
7.5,-.5,6.5,-.5
8.5,-.5,7.5,-.5
10.5,-.5,9.5,-.5
11.5,-.5,10.5,-.5

#Layer: y = .5
1.5,.5,.5,.5
2.5,.5,1.5,.5

#Layer: y = 1.5
9.5,1.5,8.5,1.5
10.5,1.5,9.5,1.5

#Layer: y = 2.5
1.5,2.5,.5,2.5
2.5,2.5,1.5,2.5
3.5,2.5,2.5,2.5
5.5,2.5,3.5,2.5
6.5,2.5,5.5,2.5

#Layer: y = 3.5
10.5,3.5,9.5,3.5
11.5,3.5,10.5,3.5

#Layer: y = 4.5
.5,4.5,-.5,4.5
1.5,4.5,.5,4.5
2.5,4.5,1.5,4.5
3.5,4.5,2.5,4.5
5.5,4.5,3.5,4.5

#Layer: y = 5.5
9.5,5.5,8.5,5.5
10.5,5.5,9.5,5.5

#Layer: y = 7.5
2.5,7.5,1.5,7.5
3.5,7.5,2.5,7.5
5.5,7.5,3.5,7.5
7.5,7.5,6.5,7.5
8.5,7.5,7.5,7.5
9.5,7.5,8.5,7.5
10.5,7.5,9.5,7.5
11.5,7.5,10.5,7.5

#Layer: y = 9.5
3.5,9.5,2.5,9.5
5.5,9.5,3.5,9.5
6.5,9.5,5.5,9.5
7.5,9.5,6.5,9.5
8.5,9.5,7.5,9.5
9.5,9.5,8.5,9.5
10.5,9.5,9.5,9.5
11.5,9.5,10.5,9.5

#Layer: y = 11.5
1.5,11.5,.5,11.5
2.5,11.5,1.5,11.5
3.5,11.5,2.5,11.5
5.5,11.5,3.5,11.5
6.5,11.5,5.5,11.5
7.5,11.5,6.5,11.5
8.5,11.5,7.5,11.5
9.5,11.5,8.5,11.5


#South-facing Walls (Color: Yellow)
C255,255,0
#Layer: y = .5
3.5,.5,5.5,.5
5.5,.5,6.5,.5
6.5,.5,7.5,.5
9.5,.5,10.5,.5

#Layer: y = 1.5
.5,1.5,1.5,1.5
1.5,1.5,2.5,1.5
2.5,1.5,3.5,1.5

#Layer: y = 2.5
8.5,2.5,9.5,2.5
9.5,2.5,10.5,2.5
10.5,2.5,11.5,2.5

#Layer: y = 3.5
-.5,3.5,.5,3.5
.5,3.5,1.5,3.5
1.5,3.5,2.5,3.5
2.5,3.5,3.5,3.5
3.5,3.5,5.5,3.5

#Layer: y = 4.5
9.5,4.5,10.5,4.5

#Layer: y = 5.5
.5,5.5,1.5,5.5
1.5,5.5,2.5,5.5
2.5,5.5,3.5,5.5
3.5,5.5,5.5,5.5

#Layer: y = 6.5
7.5,6.5,8.5,6.5
8.5,6.5,9.5,6.5
9.5,6.5,10.5,6.5
10.5,6.5,11.5,6.5

#Layer: y = 8.5
2.5,8.5,3.5,8.5
3.5,8.5,5.5,8.5
5.5,8.5,6.5,8.5
6.5,8.5,7.5,8.5
7.5,8.5,8.5,8.5
8.5,8.5,9.5,8.5
9.5,8.5,10.5,8.5
10.5,8.5,11.5,8.5

#Layer: y = 10.5
1.5,10.5,2.5,10.5
2.5,10.5,3.5,10.5
3.5,10.5,5.5,10.5
5.5,10.5,6.5,10.5
6.5,10.5,7.5,10.5
7.5,10.5,8.5,10.5
8.5,10.5,9.5,10.5
9.5,10.5,10.5,10.5

#Layer: y = 12.5
-.5,12.5,.5,12.5
.5,12.5,1.5,12.5
1.5,12.5,2.5,12.5
2.5,12.5,3.5,12.5
3.5,12.5,5.5,12.5
5.5,12.5,6.5,12.5
6.5,12.5,7.5,12.5
7.5,12.5,8.5,12.5
8.5,12.5,9.5,12.5


#East-facing Walls (Color: Light Blue)
C100,100,255
#Layer: x = -.5
-.5,-.5,-.5,.5
-.5,.5,-.5,1.5
-.5,1.5,-.5,2.5
-.5,2.5,-.5,3.5
-.5,4.5,-.5,5.5
-.5,5.5,-.5,6.5
-.5,6.5,-.5,7.5
-.5,7.5,-.5,8.5
-.5,8.5,-.5,9.5
-.5,9.5,-.5,10.5
-.5,10.5,-.5,11.5
-.5,11.5,-.5,12.5

#Layer: x = 1.5
1.5,7.5,1.5,8.5
1.5,8.5,1.5,9.5
1.5,9.5,1.5,10.5

#Layer: x = 2.5
2.5,-.5,2.5,.5

#Layer: x = 5.5
5.5,3.5,5.5,4.5
5.5,5.5,5.5,6.5
5.5,6.5,5.5,7.5

#Layer: x = 7.5
7.5,.5,7.5,1.5
7.5,1.5,7.5,2.5
7.5,2.5,7.5,3.5
7.5,3.5,7.5,4.5
7.5,4.5,7.5,5.5
7.5,5.5,7.5,6.5

#Layer: x = 9.5
9.5,-.5,9.5,.5
9.5,3.5,9.5,4.5

#Layer: x = 10.5
10.5,.5,10.5,1.5
10.5,4.5,10.5,5.5
10.5,10.5,10.5,11.5


#West-facing Walls (Color: Purple)
C200,50,250

#Layer: x = .5
.5,.5,.5,-.5
