#this is the left most line segment split up
-6,-8,-6,-5
-6,-5,-6,-3
-6,-3,-6,-1
-6,-1,-6,1
#this is the next one going to the right
#all of these are just going clockwise around until the half way point
-6,1,-4,1
-4,1,-3,1
-3,1,-3,3
-3,3,3,3
3,3,3,1
3,1,5,1
5,1,9,1
9,1,9,-1
9,-1,9,-3
9,-3,9,-5
9,-5,9,-9
9,-9,5,-9
5,-9,3,-9
3,-9,1,-9
#this concludes the outside
#doing inside now
1,-5,3,-5
3,-5,5,-5
5,-5,5,-3
5,-3,5,-1
5,-1,3,-1
3,-1,3,-3
3,-3,-3,-3
-3,-3,-3,-1
-3,-1,-4,-1
-4,-1,-4,-3
-4,-3,-4,-5
-4,-5,-4,-8
